CODIGO_VENDA;DATA_VENDA;CODIGO_CLIENTE;CODIGO_LOJA_VENDEDOR;FORMA_PAGAMENTO;TIPO_PAGAMENTO;VALOR_FINAL
1529;2017-01-02 14:57:35;1309;0;2.0;A VISTA;1194.48
1153;2017-01-02 14:58:43;191;2;2.0;A VISTA;850.11
2490;2017-01-02 17:25:49;134;10;2.0;A VISTA;819.14
1388;2017-01-02 17:32:45;1220;4;2.0;A VISTA;1642.3600000000001
2147;2017-01-04 12:12:42;11;13;2.0;A VISTA;662.93
2029;2017-01-04 13:12:24;292;15;1.0;A VISTA;903.4100000000001
1959;2017-01-05 17:23:06;491;7;1.0;A VISTA;1679.21
1457;2017-01-06 13:37:37;250;12;3.0;A VISTA;844.24
89;2017-01-08 13:01:15;523;3;4.0;PARCELADO;1024.02
2246;2017-01-09 10:45:38;857;13;1.0;A VISTA;2707.33
1997;2017-01-09 13:39:11;546;4;2.0;A VISTA;618.97
2149;2017-01-10 16:33:48;1053;15;3.0;A VISTA;138.6
2403;2017-01-11 10:02:45;451;0;4.0;A VISTA;1168.1399999999999
206;2017-01-11 14:29:24;915;4;1.0;A VISTA;346.97999999999996
1651;2017-01-12 11:38:52;267;11;1.0;A VISTA;2457.97
1460;2017-01-12 12:02:08;288;10;1.0;A VISTA;225.3
967;2017-01-12 17:31:34;371;5;2.0;A VISTA;1484.97
530;2017-01-13 09:30:19;603;14;4.0;A VISTA;1090.74
1069;2017-01-13 17:42:31;1163;12;2.0;A VISTA;1025.81
1185;2017-01-14 14:27:29;463;8;2.0;PARCELADO;1079.67
1567;2017-01-16 17:07:56;1341;11;2.0;A VISTA;844.72
320;2017-01-17 09:13:55;1084;9;2.0;A VISTA;1985.16
2079;2017-01-18 13:32:52;895;12;2.0;A VISTA;290.28000000000003
2178;2017-01-19 13:48:02;1213;11;3.0;A VISTA;698.92
537;2017-01-20 09:56:15;729;4;2.0;A VISTA;1051.34
2210;2017-01-20 16:26:58;345;11;4.0;A VISTA;2313.1000000000004
2172;2017-01-21 15:10:23;1134;8;1.0;PARCELADO;60.16
1734;2017-01-22 09:38:07;151;15;1.0;PARCELADO;944.8
899;2017-01-22 11:45:48;1103;15;3.0;A VISTA;605.73
845;2017-01-22 13:06:17;1016;4;4.0;A VISTA;738.8399999999999
2499;2017-01-22 13:39:48;1001;4;2.0;A VISTA;2406.91
519;2017-01-24 12:05:46;1200;5;3.0;A VISTA;128.66
