CODIGO_VENDA;CODIGO_PRODUTO;VALOR_UNITARIO;QUANTIDADE;VALOR_FINAL
1;6;8.24;7;57.68
1;15;6.54;2;13.08
1;35;20.08;2;40.16
1;38;28.23;1;28.23
1;39;16.51;9;148.59
1;69;4.55;3;13.65
1;72;4.7;2;9.4
1;73;3.27;7;22.89
1;74;3.18;9;28.62
1;80;5.68;7;39.76
2;30;38.04;9;342.36
2;32;41.62;5;208.1
2;68;2.42;8;19.36
3;3;160.63;6;963.78
3;12;7.94;4;31.76
3;25;9.96;7;69.72
3;36;51.43;6;308.58
3;76;1.72;9;15.48
4;17;82.33;4;329.32
4;21;8.45;7;59.15
4;24;97.38;4;389.52
4;31;68.03;8;544.24
4;49;55.41;8;443.28
4;52;56.56;2;113.12
4;54;73.36;1;73.36
4;63;3.94;9;35.46
5;18;7.66;7;53.62
5;36;45.2;2;90.4
5;46;45.88;1;45.88
5;66;2.34;2;4.68
5;81;3.55;9;31.95
5;84;4.4;9;39.6
5;87;5.91;2;11.82
6;1;44.55;8;356.4
7;63;5.83;4;23.32
7;74;2.5;6;15.0
7;82;1.18;5;5.9
8;10;99.47;5;497.35
8;33;30.57;3;91.71
8;41;73.35;5;366.75
8;42;34.52;6;207.12
8;58;26.64;4;106.56
9;45;26.93;2;53.86
9;46;41.49;6;248.94
9;54;45.72;3;137.16
9;68;3.61;5;18.05
10;17;80.46;2;160.92
10;18;9.25;8;74.0
10;44;21.47;3;64.41
10;55;65.65;8;525.2
10;63;3.68;1;3.68
10;70;2.52;1;2.52
10;88;1.53;8;12.24
10;91;2.84;2;5.68
11;2;78.71;7;550.97
11;4;156.87;6;941.22
11;10;102.89;7;720.23
11;28;75.95;8;607.6
11;29;58.79;8;470.32
11;79;1.39;4;5.56
11;82;1.58;4;6.32
11;83;4.95;2;9.9
12;7;38.12;9;343.08
12;26;8.1;9;72.9
12;27;110.65;6;663.9
12;31;44.74;2;89.48
12;52;47.81;5;239.05
12;57;23.14;5;115.7
12;65;1.76;1;1.76
12;87;3.22;9;28.98
12;91;2.57;5;12.85
