CODIGO_VENDA;DATA_VENDA;CODIGO_CLIENTE;CODIGO_VENDEDOR;CODIGO_LOJA;FORMA_PAGAMENTO;TIPO_PAGAMENTO;VALOR_FINAL
5958;2017-01-02 00:29:50;757;8;1;2.0;A VISTA;91.11
2930;2017-01-02 02:38:36;1138;16;1;3.0;A VISTA;2594.19
7657;2017-01-02 10:09:06;325;36;1;1.0;A VISTA;553.8100000000001
9414;2017-01-02 10:13:18;61;27;2;2.0;A VISTA;84.96
13015;2017-01-02 13:09:36;1028;18;3;3.0;A VISTA;661.27
4721;2017-01-02 16:47:33;529;11;1;4.0;A VISTA;85.39
8922;2017-01-02 23:06:09;1236;28;1;3.0;A VISTA;1019.98
4073;2017-01-03 11:15:06;288;16;2;4.0;A VISTA;1464.81
6062;2017-01-03 11:53:54;928;22;4;3.0;A VISTA;252.57999999999998
8737;2017-01-03 12:32:24;844;33;4;1.0;A VISTA;740.3299999999999
6757;2017-01-03 15:32:19;1022;34;2;1.0;A VISTA;512.01
5341;2017-01-04 08:55:14;464;2;1;4.0;A VISTA;922.3399999999999
5421;2017-01-04 10:39:04;1386;24;3;4.0;A VISTA;629.56
5045;2017-01-04 12:39:11;945;6;2;2.0;A VISTA;2311.16
3952;2017-01-04 15:02:38;1387;19;2;4.0;A VISTA;1350.28
4945;2017-01-05 03:42:07;791;34;1;1.0;A VISTA;160.8
13717;2017-01-05 05:55:51;1391;31;1;3.0;A VISTA;340.99
1047;2017-01-05 11:26:18;810;17;4;3.0;A VISTA;1364.17
6860;2017-01-05 11:36:03;654;12;2;2.0;A VISTA;1024.78
6537;2017-01-05 12:05:13;413;3;3;1.0;A VISTA;386.73
7944;2017-01-05 14:03:16;664;38;4;1.0;A VISTA;565.0600000000001
14278;2017-01-05 16:10:39;982;30;4;2.0;A VISTA;279.68
7452;2017-01-05 16:25:57;593;12;2;3.0;A VISTA;636.5
12768;2017-01-05 16:42:10;368;34;1;4.0;A VISTA;764.47
4800;2017-01-05 18:31:05;631;9;1;4.0;A VISTA;2726.21
15188;2017-01-06 12:13:23;200;36;4;2.0;A VISTA;11.7
13298;2017-01-06 15:29:24;458;1;4;1.0;A VISTA;83.91
13905;2017-01-06 16:11:14;1373;26;2;2.0;A VISTA;635.91
13065;2017-01-06 16:55:18;1145;11;4;4.0;A VISTA;2123.7799999999997
2652;2017-01-06 19:21:16;1106;20;1;4.0;A VISTA;631.14
5646;2017-01-07 09:03:15;165;19;4;4.0;A VISTA;15.58
1242;2017-01-07 09:46:12;1025;30;2;2.0;A VISTA;944.95
6317;2017-01-07 10:45:08;1109;21;2;1.0;A VISTA;47.19
10351;2017-01-07 13:08:57;802;30;2;4.0;A VISTA;804.82
10290;2017-01-07 13:23:15;181;2;4;4.0;A VISTA;13.95
981;2017-01-07 19:23:36;643;20;1;2.0;A VISTA;1771.42
