CODIGO_VENDA;CODIGO_PRODUTO;VALOR_UNITARIO;QUANTIDADE;VALOR_FINAL
1;5;8.83;4;35.32
1;45;26.18;4;104.72
1;63;5.2;3;15.6
2;6;7.63;7;53.41
2;32;69.6;7;487.2
2;76;5.4;5;27.0
3;62;1.17;3;3.51
3;69;4.17;8;33.36
3;80;4.13;4;16.52
3;87;4.53;4;18.12
4;22;6.0;8;48.0
4;29;48.98;6;293.88
4;31;33.36;9;300.24
4;38;22.53;1;22.53
4;62;4.94;1;4.94
4;65;4.2;6;25.2
4;67;5.55;8;44.4
4;80;4.25;9;38.25
4;86;5.19;6;31.14
4;90;1.49;8;11.92
5;2;70.07;1;70.07
5;43;57.4;6;344.4
5;49;67.38;2;134.76
5;77;3.24;6;19.44
5;82;3.13;6;18.78
5;83;2.91;6;17.46
6;14;152.74;3;458.22
6;21;6.79;6;40.74
6;48;48.3;4;193.2
6;89;4.84;3;14.52
7;31;79.0;5;395.0
7;43;62.04;5;310.2
7;48;43.99;7;307.93
7;76;3.91;9;35.19
7;80;4.4;6;26.4
7;85;3.53;7;24.71
8;24;75.2;4;300.8
9;82;1.46;9;13.14
9;87;2.01;2;4.02
10;16;92.66;8;741.28
10;20;7.81;3;23.43
10;28;43.34;6;260.04
10;40;25.98;5;129.9
10;44;27.92;2;55.84
10;51;48.13;9;433.17
10;61;4.9;5;24.5
10;70;5.46;3;16.38
10;71;3.37;2;6.74
10;84;3.45;6;20.7
11;8;6.32;3;18.96
11;18;9.16;6;54.96
11;27;115.16;6;690.96
11;32;47.17;1;47.17
11;60;3.45;1;3.45
11;71;3.27;7;22.89
11;74;1.18;2;2.36
12;9;9.02;5;45.1
12;12;9.82;8;78.56
12;22;8.57;1;8.57
12;44;20.38;7;142.66
12;72;1.93;3;5.79
13;20;8.54;9;76.86
14;2;94.41;4;377.64
14;14;161.41;9;1452.69
14;19;120.08;5;600.4
14;34;42.58;8;340.64
14;54;36.82;2;73.64
14;58;29.49;9;265.41
14;69;1.35;7;9.45
15;7;74.1;9;666.9
15;9;6.35;9;57.15
15;10;109.63;6;657.78
15;24;47.58;7;333.06
15;25;8.22;1;8.22
15;36;41.86;9;376.74
15;58;26.83;3;80.49
15;75;1.66;1;1.66
15;80;2.27;6;13.62
15;89;1.63;3;4.89
16;3;117.84;8;942.72
16;6;8.34;8;66.72
16;77;5.32;4;21.28
17;2;75.82;3;227.46
17;5;6.23;4;24.92
17;43;57.4;7;401.8
17;51;50.39;4;201.56
17;68;3.75;2;7.5
17;69;1.78;1;1.78
17;79;4.37;2;8.74
17;84;4.52;7;31.64
18;7;37.12;9;334.08
18;18;6.32;3;18.96
18;30;58.55;4;234.2
18;41;54.9;7;384.3
18;55;57.67;7;403.69
18;60;5.46;9;49.14
18;62;2.89;2;5.78
18;63;4.01;6;24.06
19;12;9.01;1;9.01
19;56;58.98;5;294.9
20;12;8.19;7;57.33
20;38;29.0;2;58.0
20;42;42.99;4;171.96
20;53;79.78;2;159.56
20;80;3.82;9;34.38
20;85;1.11;8;8.88
20;87;3.91;1;3.91
21;9;8.56;5;42.8
21;53;69.12;5;345.6
21;90;3.98;5;19.9
22;22;7.72;6;46.32
22;34;73.69;1;73.69
22;46;42.37;4;169.48
22;49;68.01;8;544.08
22;56;78.02;6;468.12
22;59;1.94;8;15.52
22;76;3.78;8;30.24
22;77;2.25;6;13.5
22;84;2.12;4;8.48
23;19;151.28;1;151.28
23;35;26.3;3;78.9
23;42;41.87;4;167.48
23;53;50.33;5;251.65
23;81;2.2;2;4.4
24;68;5.98;1;5.98
25;14;147.77;2;295.54
25;25;7.83;5;39.15
25;26;6.64;4;26.56
25;37;33.8;9;304.2
25;53;58.88;5;294.4
25;57;15.01;5;75.05
25;63;3.13;5;15.65
25;88;1.86;1;1.86
25;89;1.6;7;11.2
26;15;7.16;7;50.12
26;21;9.28;6;55.68
26;34;56.85;9;511.65
26;36;54.77;6;328.62
26;46;60.33;1;60.33
26;47;71.17;3;213.51
26;62;1.85;4;7.4
26;68;2.75;3;8.25
27;79;4.2;6;25.2
28;72;1.17;9;10.53
29;15;9.21;9;82.89
29;20;6.86;4;27.44
29;22;6.99;6;41.94
29;25;8.51;7;59.57
29;45;27.7;2;55.4
29;60;2.81;9;25.29
29;62;1.24;9;11.16
